,country,year,pop,continent,lifeExp,gdpPercap,machinelearning
60,Australia,1952,8691212.0,Oceania,69.12,10039.59564,yes
61,Australia,1957,9712569.0,Oceania,70.33,10949.64959,yes
62,Australia,1962,10794968.0,Oceania,70.93,12217.22686,yes
63,Australia,1967,11872264.0,Oceania,71.1,14526.12465,yes
64,Australia,1972,13177000.0,Oceania,71.93,16788.62948,yes
65,Australia,1977,14074100.0,Oceania,73.49,18334.19751,yes
66,Australia,1982,15184200.0,Oceania,74.74,19477.00928,yes
67,Australia,1987,16257249.0,Oceania,76.32,21888.88903,yes
68,Australia,1992,17481977.0,Oceania,77.56,23424.76683,yes
69,Australia,1997,18565243.0,Oceania,78.83,26997.93657,yes
70,Australia,2002,19546792.0,Oceania,80.37,30687.75473,yes
71,Australia,2007,20434176.0,Oceania,81.235,34435.367439999995,yes
72,Austria,1952,6927772.0,Europe,66.8,6137.076492,yes
73,Austria,1957,6965860.0,Europe,67.48,8842.59803,yes
74,Austria,1962,7129864.0,Europe,69.54,10750.72111,yes
75,Austria,1967,7376998.0,Europe,70.14,12834.6024,yes
76,Austria,1972,7544201.0,Europe,70.63,16661.6256,yes
77,Austria,1977,7568430.0,Europe,72.17,19749.4223,yes
78,Austria,1982,7574613.0,Europe,73.18,21597.08362,yes
79,Austria,1987,7578903.0,Europe,74.94,23687.82607,yes
80,Austria,1992,7914969.0,Europe,76.04,27042.01868,yes
81,Austria,1997,8069876.0,Europe,77.51,29095.920660000003,yes
82,Austria,2002,8148312.0,Europe,78.98,32417.60769,yes
83,Austria,2007,8199783.0,Europe,79.829,36126.4927,yes
84,Bahrain,1952,120447.0,Asia,50.93899999999999,9867.084765,yes
85,Bahrain,1957,138655.0,Asia,53.832,11635.79945,yes
86,Bahrain,1962,171863.0,Asia,56.923,12753.27514,yes
87,Bahrain,1967,202182.0,Asia,59.923,14804.6727,yes
88,Bahrain,1972,230800.0,Asia,63.3,18268.65839,yes
89,Bahrain,1977,297410.0,Asia,65.593,19340.10196,yes
90,Bahrain,1982,377967.0,Asia,69.05199999999999,19211.14731,yes
91,Bahrain,1987,454612.0,Asia,70.75,18524.02406,yes
92,Bahrain,1992,529491.0,Asia,72.601,19035.57917,yes
93,Bahrain,1997,598561.0,Asia,73.925,20292.01679,yes
94,Bahrain,2002,656397.0,Asia,74.795,23403.55927,yes
95,Bahrain,2007,708573.0,Asia,75.635,29796.04834,yes
96,Bangladesh,1952,46886859.0,Asia,37.484,684.2441716,yes
97,Bangladesh,1957,51365468.0,Asia,39.348,661.6374577,yes
98,Bangladesh,1962,56839289.0,Asia,41.216,686.3415537999998,yes
99,Bangladesh,1967,62821884.0,Asia,43.453,721.1860862000002,yes
100,Bangladesh,1972,70759295.0,Asia,45.252,630.2336265,yes
101,Bangladesh,1977,80428306.0,Asia,46.923,659.8772322000002,yes
102,Bangladesh,1982,93074406.0,Asia,50.00899999999999,676.9818656,yes
103,Bangladesh,1987,103764241.0,Asia,52.819,751.9794035,yes
104,Bangladesh,1992,113704579.0,Asia,56.018,837.8101642999999,yes
105,Bangladesh,1997,123315288.0,Asia,59.412,972.7700352,yes
106,Bangladesh,2002,135656790.0,Asia,62.01300000000001,1136.3904300000004,yes
107,Bangladesh,2007,150448339.0,Asia,64.062,1391.253792,yes
108,Belgium,1952,8730405.0,Europe,68.0,8343.105126999999,yes
109,Belgium,1957,8989111.0,Europe,69.24,9714.960623,yes
110,Belgium,1962,9218400.0,Europe,70.25,10991.20676,yes
111,Belgium,1967,9556500.0,Europe,70.94,13149.04119,yes
112,Belgium,1972,9709100.0,Europe,71.44,16672.14356,yes
113,Belgium,1977,9821800.0,Europe,72.8,19117.97448,yes
114,Belgium,1982,9856303.0,Europe,73.93,20979.84589,yes
115,Belgium,1987,9870200.0,Europe,75.35,22525.56308,yes
116,Belgium,1992,10045622.0,Europe,76.46,25575.57069,yes
117,Belgium,1997,10199787.0,Europe,77.53,27561.19663,yes
118,Belgium,2002,10311970.0,Europe,78.32,30485.88375,yes
119,Belgium,2007,10392226.0,Europe,79.441,33692.60508,yes
120,Benin,1952,1738315.0,Africa,38.223,1062.7522,yes
121,Benin,1957,1925173.0,Africa,40.358,959.6010805,yes
122,Benin,1962,2151895.0,Africa,42.618,949.4990641,yes
123,Benin,1967,2427334.0,Africa,44.885,1035.831411,yes
124,Benin,1972,2761407.0,Africa,47.014,1085.796879,yes
125,Benin,1977,3168267.0,Africa,49.19,1029.161251,yes
126,Benin,1982,3641603.0,Africa,50.904,1277.897616,yes
127,Benin,1987,4243788.0,Africa,52.337,1225.85601,yes
128,Benin,1992,4981671.0,Africa,53.919,1191.207681,yes
129,Benin,1997,6066080.0,Africa,54.777,1232.975292,yes
130,Benin,2002,7026113.0,Africa,54.40600000000001,1372.877931,yes
131,Benin,2007,8078314.0,Africa,56.728,1441.284873,yes
132,Bolivia,1952,2883315.0,Americas,40.414,2677.326347,yes
133,Bolivia,1957,3211738.0,Americas,41.89,2127.686326,yes
134,Bolivia,1962,3593918.0,Americas,43.428,2180.972546,yes
135,Bolivia,1967,4040665.0,Americas,45.032,2586.886053,yes
136,Bolivia,1972,4565872.0,Americas,46.714,2980.331339,yes
137,Bolivia,1977,5079716.0,Americas,50.023,3548.097832,yes
138,Bolivia,1982,5642224.0,Americas,53.859,3156.510452,yes
139,Bolivia,1987,6156369.0,Americas,57.25100000000001,2753.69149,yes
140,Bolivia,1992,6893451.0,Americas,59.957,2961.699694,yes
141,Bolivia,1997,7693188.0,Americas,62.05,3326.143191,yes
142,Bolivia,2002,8445134.0,Americas,63.883,3413.26269,yes
143,Bolivia,2007,9119152.0,Americas,65.554,3822.137084,yes
144,Bosnia and Herzegovina,1952,2791000.0,Europe,53.82,973.5331948,yes
145,Bosnia and Herzegovina,1957,3076000.0,Europe,58.45,1353.989176,yes
146,Bosnia and Herzegovina,1962,3349000.0,Europe,61.93,1709.683679,yes
147,Bosnia and Herzegovina,1967,3585000.0,Europe,64.79,2172.3524230000007,yes
148,Bosnia and Herzegovina,1972,3819000.0,Europe,67.45,2860.16975,yes
149,Bosnia and Herzegovina,1977,4086000.0,Europe,69.86,3528.481305,yes
150,Bosnia and Herzegovina,1982,4172693.0,Europe,70.69,4126.613157,yes
151,Bosnia and Herzegovina,1987,4338977.0,Europe,71.14,4314.114757,yes
152,Bosnia and Herzegovina,1992,4256013.0,Europe,72.178,2546.781445,yes
153,Bosnia and Herzegovina,1997,3607000.0,Europe,73.244,4766.355904,yes
154,Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.975239,yes
155,Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803,yes
156,Botswana,1952,442308.0,Africa,47.622,851.2411407,yes
157,Botswana,1957,474639.0,Africa,49.618,918.2325349,yes
158,Botswana,1962,512764.0,Africa,51.52,983.6539764,yes
159,Botswana,1967,553541.0,Africa,53.298,1214.709294,yes
160,Botswana,1972,619351.0,Africa,56.024,2263.6111140000007,yes
161,Botswana,1977,781472.0,Africa,59.319,3214.857818,yes
162,Botswana,1982,970347.0,Africa,61.484,4551.14215,yes
163,Botswana,1987,1151184.0,Africa,63.622,6205.88385,yes
164,Botswana,1992,1342614.0,Africa,62.745,7954.111645,yes
165,Botswana,1997,1536536.0,Africa,52.556,8647.142313,yes
166,Botswana,2002,1630347.0,Africa,46.63399999999999,11003.60508,yes
167,Botswana,2007,1639131.0,Africa,50.728,12569.85177,yes
168,Brazil,1952,56602560.0,Americas,50.917,2108.944355,yes
169,Brazil,1957,65551171.0,Americas,53.285,2487.365989,yes
170,Brazil,1962,76039390.0,Americas,55.665,3336.585802,yes
171,Brazil,1967,88049823.0,Americas,57.632,3429.864357,yes
172,Brazil,1972,100840058.0,Americas,59.504,4985.711467,yes
173,Brazil,1977,114313951.0,Americas,61.489,6660.118654,yes
174,Brazil,1982,128962939.0,Americas,63.33600000000001,7030.835878,yes
175,Brazil,1987,142938076.0,Americas,65.205,7807.095818000002,yes
176,Brazil,1992,155975974.0,Americas,67.057,6950.283020999998,yes
177,Brazil,1997,168546719.0,Americas,69.388,7957.980823999998,yes
178,Brazil,2002,179914212.0,Americas,71.006,8131.212843000001,yes
179,Brazil,2007,190010647.0,Americas,72.39,9065.800825,yes
180,Bulgaria,1952,7274900.0,Europe,59.6,2444.286648,yes
181,Bulgaria,1957,7651254.0,Europe,66.61,3008.670727,yes
182,Bulgaria,1962,8012946.0,Europe,69.51,4254.337839,yes
183,Bulgaria,1967,8310226.0,Europe,70.42,5577.0028,yes
184,Bulgaria,1972,8576200.0,Europe,70.9,6597.494398,yes
185,Bulgaria,1977,8797022.0,Europe,70.81,7612.240438,yes
186,Bulgaria,1982,8892098.0,Europe,71.08,8224.191647,yes
187,Bulgaria,1987,8971958.0,Europe,71.34,8239.854824,yes
188,Bulgaria,1992,8658506.0,Europe,71.19,6302.623438000001,yes
189,Bulgaria,1997,8066057.0,Europe,70.32,5970.38876,yes
190,Bulgaria,2002,7661799.0,Europe,72.14,7696.777725,yes
191,Bulgaria,2007,7322858.0,Europe,73.005,10680.79282,yes
192,Burkina Faso,1952,4469979.0,Africa,31.975,543.2552413,yes
193,Burkina Faso,1957,4713416.0,Africa,34.906,617.1834647999998,yes
194,Burkina Faso,1962,4919632.0,Africa,37.814,722.5120206,yes
195,Burkina Faso,1967,5127935.0,Africa,40.697,794.8265597,yes
196,Burkina Faso,1972,5433886.0,Africa,43.591,854.7359763000002,yes
197,Burkina Faso,1977,5889574.0,Africa,46.137,743.3870368,yes
198,Burkina Faso,1982,6634596.0,Africa,48.122,807.1985855,yes
199,Burkina Faso,1987,7586551.0,Africa,49.557,912.0631417,yes
200,Burkina Faso,1992,8878303.0,Africa,50.26,931.7527731,yes
201,Burkina Faso,1997,10352843.0,Africa,50.324,946.2949618,yes
202,Burkina Faso,2002,12251209.0,Africa,50.65,1037.645221,yes
203,Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994,yes
204,Burundi,1952,2445618.0,Africa,39.031,339.2964587,yes
205,Burundi,1957,2667518.0,Africa,40.533,379.56462810000005,yes
206,Burundi,1962,2961915.0,Africa,42.045,355.2032273,yes
207,Burundi,1967,3330989.0,Africa,43.548,412.97751360000007,yes
208,Burundi,1972,3529983.0,Africa,44.057,464.0995039,yes
209,Burundi,1977,3834415.0,Africa,45.91,556.1032651,yes
210,Burundi,1982,4580410.0,Africa,47.471,559.6032309999998,yes
211,Burundi,1987,5126023.0,Africa,48.21100000000001,621.8188188999999,yes
212,Burundi,1992,5809236.0,Africa,44.736,631.6998778,yes
213,Burundi,1997,6121610.0,Africa,45.326,463.1151478,yes
214,Burundi,2002,7021078.0,Africa,47.36,446.4035126,yes
215,Burundi,2007,8390505.0,Africa,49.58,430.0706916,yes
216,Cambodia,1952,4693836.0,Asia,39.417,368.4692856,yes
217,Cambodia,1957,5322536.0,Asia,41.36600000000001,434.0383364,yes
218,Cambodia,1962,6083619.0,Asia,43.415,496.9136476,yes
219,Cambodia,1967,6960067.0,Asia,45.415,523.4323142,yes
220,Cambodia,1972,7450606.0,Asia,40.317,421.6240257,yes
221,Cambodia,1977,6978607.0,Asia,31.22,524.9721831999999,yes
222,Cambodia,1982,7272485.0,Asia,50.957,624.4754784,yes
223,Cambodia,1987,8371791.0,Asia,53.914,683.8955732000002,yes
224,Cambodia,1992,10150094.0,Asia,55.803,682.3031755,yes
225,Cambodia,1997,11782962.0,Asia,56.534,734.28517,yes
226,Cambodia,2002,12926707.0,Asia,56.752,896.2260152999999,yes
227,Cambodia,2007,14131858.0,Asia,59.723,1713.778686,yes
228,Cameroon,1952,5009067.0,Africa,38.523,1172.667655,yes
229,Cameroon,1957,5359923.0,Africa,40.428,1313.048099,yes
230,Cameroon,1962,5793633.0,Africa,42.643,1399.607441,yes
231,Cameroon,1967,6335506.0,Africa,44.799,1508.453148,yes
232,Cameroon,1972,7021028.0,Africa,47.049,1684.1465280000002,yes
233,Cameroon,1977,7959865.0,Africa,49.355,1783.432873,yes
234,Cameroon,1982,9250831.0,Africa,52.96100000000001,2367.983282,yes
235,Cameroon,1987,10780667.0,Africa,54.985,2602.664206,yes
236,Cameroon,1992,12467171.0,Africa,54.31399999999999,1793.1632780000002,yes
237,Cameroon,1997,14195809.0,Africa,52.199,1694.337469,yes
238,Cameroon,2002,15929988.0,Africa,49.856,1934.011449,yes
239,Cameroon,2007,17696293.0,Africa,50.43,2042.09524,yes
240,Canada,1952,14785584.0,Americas,68.75,11367.16112,yes
241,Canada,1957,17010154.0,Americas,69.96,12489.95006,yes
242,Canada,1962,18985849.0,Americas,71.3,13462.48555,yes
243,Canada,1967,20819767.0,Americas,72.13,16076.58803,yes
244,Canada,1972,22284500.0,Americas,72.88,18970.57086,yes
245,Canada,1977,23796400.0,Americas,74.21,22090.88306,yes
246,Canada,1982,25201900.0,Americas,75.76,22898.79214,yes
247,Canada,1987,26549700.0,Americas,76.86,26626.51503,yes
248,Canada,1992,28523502.0,Americas,77.95,26342.88426,yes
249,Canada,1997,30305843.0,Americas,78.61,28954.92589,yes
250,Canada,2002,31902268.0,Americas,79.77,33328.96507,yes
251,Canada,2007,33390141.0,Americas,80.653,36319.23501,yes
252,Central African Republic,1952,1291695.0,Africa,35.463,1071.310713,yes
253,Central African Republic,1957,1392284.0,Africa,37.464,1190.844328,yes
254,Central African Republic,1962,1523478.0,Africa,39.475,1193.068753,yes
255,Central African Republic,1967,1733638.0,Africa,41.478,1136.056615,yes
256,Central African Republic,1972,1927260.0,Africa,43.457,1070.013275,yes
257,Central African Republic,1977,2167533.0,Africa,46.775,1109.374338,yes
258,Central African Republic,1982,2476971.0,Africa,48.295,956.7529907,yes
259,Central African Republic,1987,2840009.0,Africa,50.485,844.8763504000002,yes
260,Central African Republic,1992,3265124.0,Africa,49.396,747.9055252,yes
261,Central African Republic,1997,3696513.0,Africa,46.066,740.5063317,yes
262,Central African Republic,2002,4048013.0,Africa,43.308,738.6906068,yes
263,Central African Republic,2007,4369038.0,Africa,44.74100000000001,706.016537,yes
264,Chad,1952,2682462.0,Africa,38.092,1178.665927,yes
265,Chad,1957,2894855.0,Africa,39.881,1308.495577,yes
266,Chad,1962,3150417.0,Africa,41.716,1389.817618,yes
267,Chad,1967,3495967.0,Africa,43.601000000000006,1196.810565,yes
268,Chad,1972,3899068.0,Africa,45.569,1104.103987,yes
269,Chad,1977,4388260.0,Africa,47.383,1133.98495,yes
270,Chad,1982,4875118.0,Africa,49.517,797.9081006,yes
271,Chad,1987,5498955.0,Africa,51.051,952.386129,yes
272,Chad,1992,6429417.0,Africa,51.724,1058.0643,yes
273,Chad,1997,7562011.0,Africa,51.573,1004.961353,yes
274,Chad,2002,8835739.0,Africa,50.525,1156.18186,yes
275,Chad,2007,10238807.0,Africa,50.651,1704.063724,yes
276,Chile,1952,6377619.0,Americas,54.745,3939.978789,yes
277,Chile,1957,7048426.0,Americas,56.074,4315.622723,yes
278,Chile,1962,7961258.0,Americas,57.924,4519.094331,yes
279,Chile,1967,8858908.0,Americas,60.523,5106.654313,yes
280,Chile,1972,9717524.0,Americas,63.441,5494.024437,yes
281,Chile,1977,10599793.0,Americas,67.05199999999999,4756.763836,yes
282,Chile,1982,11487112.0,Americas,70.565,5095.6657380000015,yes
283,Chile,1987,12463354.0,Americas,72.492,5547.063754,yes
284,Chile,1992,13572994.0,Americas,74.126,7596.125964,yes
285,Chile,1997,14599929.0,Americas,75.816,10118.05318,yes
286,Chile,2002,15497046.0,Americas,77.86,10778.78385,yes
287,Chile,2007,16284741.0,Americas,78.553,13171.63885,yes
288,China,1952,556263527.9999889,Asia,44.0,400.448610699994,yes
289,China,1957,637408000.0,Asia,50.54896,575.9870009,yes
290,China,1962,665770000.0,Asia,44.50136,487.6740183,yes
291,China,1967,754550000.0,Asia,58.38112,612.7056934,yes
292,China,1972,862030000.0,Asia,63.11888,676.9000921,yes
293,China,1977,943455000.0,Asia,63.96736,741.2374699,yes
294,China,1982,1000281000.0,Asia,65.525,962.4213805,yes
295,China,1987,1084035000.0,Asia,67.274,1378.904018,yes
296,China,1992,1164970000.0,Asia,68.69,1655.784158,yes
297,China,1997,1230075000.0,Asia,70.426,2289.234136,yes
298,China,2002,1280400000.0,Asia,72.028,3119.280896,yes
299,China,2007,1318683096.0,Asia,72.961,4959.114854,yes
300,Colombia,1952,12350771.0,Americas,50.643,2144.115096,yes
301,Colombia,1957,14485993.0,Americas,55.118,2323.805581,yes
302,Colombia,1962,17009885.0,Americas,57.863,2492.351109,yes
303,Colombia,1967,19764027.0,Americas,59.963,2678.729839,yes
304,Colombia,1972,22542890.0,Americas,61.62300000000001,3264.660041,yes
305,Colombia,1977,25094412.0,Americas,63.837,3815.80787,yes
306,Colombia,1982,27764644.0,Americas,66.653,4397.575659,yes
307,Colombia,1987,30964245.0,Americas,67.768,4903.2191,yes
308,Colombia,1992,34202721.0,Americas,68.421,5444.648617,yes
309,Colombia,1997,37657830.0,Americas,70.313,6117.361746000001,yes
310,Colombia,2002,41008227.0,Americas,71.682,5755.259962,yes
311,Colombia,2007,44227550.0,Americas,72.889,7006.580419,yes
312,Comoros,1952,153936.0,Africa,40.715,1102.990936,yes
313,Comoros,1957,170928.0,Africa,42.46,1211.148548,yes
314,Comoros,1962,191689.0,Africa,44.467,1406.648278,yes
315,Comoros,1967,217378.0,Africa,46.472,1876.029643,yes
316,Comoros,1972,250027.0,Africa,48.944,1937.577675,yes
317,Comoros,1977,304739.0,Africa,50.93899999999999,1172.603047,yes
318,Comoros,1982,348643.0,Africa,52.933,1267.100083,yes
319,Comoros,1987,395114.0,Africa,54.926,1315.980812,yes
320,Comoros,1992,454429.0,Africa,57.93899999999999,1246.90737,yes
321,Comoros,1997,527982.0,Africa,60.66,1173.618235,yes
322,Comoros,2002,614382.0,Africa,62.974,1075.811558,yes
323,Comoros,2007,710960.0,Africa,65.152,986.1478792,yes
324,Congo Dem. Rep.,1952,14100005.0,Africa,39.143,780.5423257,yes
325,Congo Dem. Rep.,1957,15577932.0,Africa,40.652,905.8602303,yes
326,Congo Dem. Rep.,1962,17486434.0,Africa,42.122,896.3146335000001,yes
327,Congo Dem. Rep.,1967,19941073.0,Africa,44.056,861.5932424,yes
328,Congo Dem. Rep.,1972,23007669.0,Africa,45.989,904.8960685,yes
329,Congo Dem. Rep.,1977,26480870.0,Africa,47.804,795.757282,yes
330,Congo Dem. Rep.,1982,30646495.0,Africa,47.784,673.7478181,yes
331,Congo Dem. Rep.,1987,35481645.0,Africa,47.412,672.774812,yes
332,Congo Dem. Rep.,1992,41672143.0,Africa,45.548,457.7191807,yes
333,Congo Dem. Rep.,1997,47798986.0,Africa,42.587,312.188423,yes
334,Congo Dem. Rep.,2002,55379852.0,Africa,44.966,241.1658765,yes
335,Congo Dem. Rep.,2007,64606759.0,Africa,46.462,277.5518587,yes
336,Congo Rep.,1952,854885.0,Africa,42.111,2125.621418,yes
337,Congo Rep.,1957,940458.0,Africa,45.053,2315.056572,yes
338,Congo Rep.,1962,1047924.0,Africa,48.435,2464.783157,yes
339,Congo Rep.,1967,1179760.0,Africa,52.04,2677.9396420000007,yes
340,Congo Rep.,1972,1340458.0,Africa,54.907,3213.152683,yes
341,Congo Rep.,1977,1536769.0,Africa,55.625,3259.178978,yes
342,Congo Rep.,1982,1774735.0,Africa,56.695,4879.507522,yes
343,Congo Rep.,1987,2064095.0,Africa,57.47,4201.194936999998,yes
344,Congo Rep.,1992,2409073.0,Africa,56.433,4016.239529,yes
345,Congo Rep.,1997,2800947.0,Africa,52.962,3484.164376,yes
346,Congo Rep.,2002,3328795.0,Africa,52.97,3484.06197,yes
347,Congo Rep.,2007,3800610.0,Africa,55.322,3632.557798,yes
348,Costa Rica,1952,926317.0,Americas,57.206,2627.0094710000008,yes
349,Costa Rica,1957,1112300.0,Americas,60.026,2990.010802,yes
350,Costa Rica,1962,1345187.0,Americas,62.842,3460.937025,yes
351,Costa Rica,1967,1588717.0,Americas,65.42399999999999,4161.727834,yes
352,Costa Rica,1972,1834796.0,Americas,67.84899999999999,5118.146939,yes
353,Costa Rica,1977,2108457.0,Americas,70.75,5926.876967,yes
354,Costa Rica,1982,2424367.0,Americas,73.45,5262.734751,yes
355,Costa Rica,1987,2799811.0,Americas,74.752,5629.915318,yes
356,Costa Rica,1992,3173216.0,Americas,75.71300000000002,6160.416317,yes
357,Costa Rica,1997,3518107.0,Americas,77.26,6677.045314,yes
358,Costa Rica,2002,3834934.0,Americas,78.123,7723.447195000002,yes
359,Costa Rica,2007,4133884.0,Americas,78.782,9645.06142,yes
360,Cote d'Ivoire,1952,2977019.0,Africa,40.477,1388.594732,yes
361,Cote d'Ivoire,1957,3300000.0,Africa,42.469,1500.895925,yes
362,Cote d'Ivoire,1962,3832408.0,Africa,44.93,1728.8694280000002,yes
363,Cote d'Ivoire,1967,4744870.0,Africa,47.35,2052.050473,yes
364,Cote d'Ivoire,1972,6071696.0,Africa,49.801,2378.201111,yes
365,Cote d'Ivoire,1977,7459574.0,Africa,52.374,2517.736547,yes
366,Cote d'Ivoire,1982,9025951.0,Africa,53.983,2602.710169,yes
367,Cote d'Ivoire,1987,10761098.0,Africa,54.655,2156.9560690000008,yes
368,Cote d'Ivoire,1992,12772596.0,Africa,52.044,1648.073791,yes
369,Cote d'Ivoire,1997,14625967.0,Africa,47.99100000000001,1786.265407,yes
370,Cote d'Ivoire,2002,16252726.0,Africa,46.832,1648.800823,yes
371,Cote d'Ivoire,2007,18013409.0,Africa,48.328,1544.750112,yes
372,Croatia,1952,3882229.0,Europe,61.21,3119.23652,yes
373,Croatia,1957,3991242.0,Europe,64.77,4338.231617,yes
374,Croatia,1962,4076557.0,Europe,67.13,5477.890018,yes
375,Croatia,1967,4174366.0,Europe,68.5,6960.297861,yes
376,Croatia,1972,4225310.0,Europe,69.61,9164.090127,yes
377,Croatia,1977,4318673.0,Europe,70.64,11305.38517,yes
378,Croatia,1982,4413368.0,Europe,70.46,13221.82184,yes
379,Croatia,1987,4484310.0,Europe,71.52,13822.58394,yes
380,Croatia,1992,4494013.0,Europe,72.527,8447.794873,yes
381,Croatia,1997,4444595.0,Europe,73.68,9875.604515,yes
382,Croatia,2002,4481020.0,Europe,74.876,11628.38895,yes
383,Croatia,2007,4493312.0,Europe,75.748,14619.222719999998,yes
384,Cuba,1952,6007797.0,Americas,59.42100000000001,5586.53878,yes
385,Cuba,1957,6640752.0,Americas,62.325,6092.1743590000015,yes
386,Cuba,1962,7254373.0,Americas,65.24600000000001,5180.75591,yes
387,Cuba,1967,8139332.0,Americas,68.29,5690.268015,yes
388,Cuba,1972,8831348.0,Americas,70.723,5305.445256,yes
389,Cuba,1977,9537988.0,Americas,72.649,6380.494965999998,yes
390,Cuba,1982,9789224.0,Americas,73.717,7316.918106999998,yes
391,Cuba,1987,10239839.0,Americas,74.17399999999998,7532.924762999999,yes
392,Cuba,1992,10723260.0,Americas,74.414,5592.843963,yes
393,Cuba,1997,10983007.0,Americas,76.15100000000002,5431.990415,yes
394,Cuba,2002,11226999.0,Americas,77.158,6340.646683,yes
395,Cuba,2007,11416987.0,Americas,78.273,8948.102923,yes
396,Czech Republic,1952,9125183.0,Europe,66.87,6876.14025,yes
397,Czech Republic,1957,9513758.0,Europe,69.03,8256.343918,yes
398,Czech Republic,1962,9620282.0,Europe,69.9,10136.86713,yes
399,Czech Republic,1967,9835109.0,Europe,70.38,11399.44489,yes
400,Czech Republic,1972,9862158.0,Europe,70.29,13108.4536,yes
401,Czech Republic,1977,10161915.0,Europe,70.71,14800.16062,yes
402,Czech Republic,1982,10303704.0,Europe,70.96,15377.22855,yes
403,Czech Republic,1987,10311597.0,Europe,71.58,16310.4434,yes
